Value,Feature,Feature Importance,MIN,MAX,Scaler
102,ZooVerPhyloP,0.15572519083969466,0.0015267175572519084,0.15572519083969466,1
75,Rare100bp,0.11450381679389313,0.0015267175572519084,0.15572519083969466,0.732673267
40,Freq100bp,0.061068702290076333,0.0015267175572519084,0.15572519083969466,0.386138614
40,GerpN,0.061068702290076333,0.0015267175572519084,0.15572519083969466,0.386138614
40,SE3_alt,0.061068702290076333,0.0015267175572519084,0.15572519083969466,0.386138614
40,ACC_diff,0.061068702290076333,0.0015267175572519084,0.15572519083969466,0.386138614
37,Sngl100bp,0.05648854961832061,0.0015267175572519084,0.15572519083969466,0.356435644
33,PseKNC_TGG_alt,0.050381679389312976,0.0015267175572519084,0.15572519083969466,0.316831683
31,CCGR100_diff,0.04732824427480916,0.0015267175572519084,0.15572519083969466,0.297029703
22,TAC_Bendability (DNAse).lag2_diff,0.03358778625954199,0.0015267175572519084,0.15572519083969466,0.207920792
15,HelT36_ref,0.022900763358778626,0.0015267175572519084,0.15572519083969466,0.138613861
15,PseKNC_GTT_alt,0.022900763358778626,0.0015267175572519084,0.15572519083969466,0.138613861
15,PCPseTNC_CTA_alt,0.022900763358778626,0.0015267175572519084,0.15572519083969466,0.138613861
14,SCPseTNC_GGT_diff,0.021374045801526718,0.0015267175572519084,0.15572519083969466,0.128712871
13,gdi,0.01984732824427481,0.0015267175572519084,0.15572519083969466,0.118811881
12,Sngl10000bp,0.0183206106870229,0.0015267175572519084,0.15572519083969466,0.108910891
11,ProT7_ref,0.016793893129770993,0.0015267175572519084,0.15572519083969466,0.099009901
9,CTTG_diff,0.013740458015267175,0.0015267175572519084,0.15572519083969466,0.079207921
7,Dist2Mutation,0.010687022900763359,0.0015267175572519084,0.15572519083969466,0.059405941
7,SCPseDNC_GT_ref,0.010687022900763359,0.0015267175572519084,0.15572519083969466,0.059405941
6,PseKNC_GGA_ref,0.00916030534351145,0.0015267175572519084,0.15572519083969466,0.04950495
6,CCGR78_alt,0.00916030534351145,0.0015267175572519084,0.15572519083969466,0.04950495
6,PseDNC_TA_diff,0.00916030534351145,0.0015267175572519084,0.15572519083969466,0.04950495
5,Roll1_ref,0.007633587786259542,0.0015267175572519084,0.15572519083969466,0.03960396
5,Roll36_ref,0.007633587786259542,0.0015267175572519084,0.15572519083969466,0.03960396
5,Roll23_alt,0.007633587786259542,0.0015267175572519084,0.15572519083969466,0.03960396
4,priPhyloP,0.0061068702290076335,0.0015267175572519084,0.15572519083969466,0.02970297
4,MGW1_ref,0.0061068702290076335,0.0015267175572519084,0.15572519083969466,0.02970297
4,PseKNC_AGC_alt,0.0061068702290076335,0.0015267175572519084,0.15572519083969466,0.02970297
4,SCPseDNC_CA_diff,0.0061068702290076335,0.0015267175572519084,0.15572519083969466,0.02970297
3,MGW7_ref,0.004580152671755725,0.0015267175572519084,0.15572519083969466,0.01980198
3,TTCC_alt,0.004580152671755725,0.0015267175572519084,0.15572519083969466,0.01980198
3,PCPseTNC_CTT_alt,0.004580152671755725,0.0015267175572519084,0.15572519083969466,0.01980198
3,PseDNC_TC_diff,0.004580152671755725,0.0015267175572519084,0.15572519083969466,0.01980198
3,CCGR97_diff,0.004580152671755725,0.0015267175572519084,0.15572519083969466,0.01980198
2,SCCGR12_ref,0.0030534351145038168,0.0015267175572519084,0.15572519083969466,0.00990099
2,GTGT_alt,0.0030534351145038168,0.0015267175572519084,0.15572519083969466,0.00990099
2,PCPseTNC_TTC_alt,0.0030534351145038168,0.0015267175572519084,0.15572519083969466,0.00990099
1,Zcurve9_2.z_ref,0.0015267175572519084,0.0015267175572519084,0.15572519083969466,0
1,SCPseTNC_TGG_ref,0.0015267175572519084,0.0015267175572519084,0.15572519083969466,0
1,TTCC_ref,0.0015267175572519084,0.0015267175572519084,0.15572519083969466,0
1,MGW21_ref,0.0015267175572519084,0.0015267175572519084,0.15572519083969466,0
1,ProT13_ref,0.0015267175572519084,0.0015267175572519084,0.15572519083969466,0
1,PseKNC_AAG_diff,0.0015267175572519084,0.0015267175572519084,0.15572519083969466,0
1,PCPseTNC_TCA_diff,0.0015267175572519084,0.0015267175572519084,0.15572519083969466,0
